時間,設備,值
2024-10-26 15:34:46,SA-10/LED_LEVEL,10
2024-10-26 15:34:47,SA-10/TEMPERATURE,28.45
2024-10-26 15:34:47,SA-10/LINE_LEVEL,1
2024-10-26 15:35:09,SA-10/TEMPERATURE,28.92
2024-10-26 15:35:13,SA-10/TEMPERATURE,28.45
2024-10-26 15:35:17,SA-10/TEMPERATURE,28.92
2024-10-26 15:35:27,SA-10/TEMPERATURE,28.45
2024-10-26 15:35:30,SA-10/LED_LEVEL,9
2024-10-26 15:35:30,SA-10/LED_LEVEL,8
2024-10-26 15:35:31,SA-10/LED_LEVEL,9
2024-10-26 15:35:31,SA-10/TEMPERATURE,28.92
2024-10-26 15:35:37,SA-10/LED_LEVEL,8
2024-10-26 15:35:38,SA-10/LED_LEVEL,7
2024-10-26 15:35:38,SA-10/LED_LEVEL,6
2024-10-26 15:35:38,SA-10/LED_LEVEL,5
2024-10-26 15:35:39,SA-10/LED_LEVEL,4
2024-10-26 15:35:46,SA-10/LED_LEVEL,3
2024-10-26 15:35:46,SA-10/LED_LEVEL,2
2024-10-26 15:35:47,SA-10/LED_LEVEL,0
2024-10-26 15:35:54,SA-10/LED_LEVEL,1
2024-10-26 15:35:59,SA-10/TEMPERATURE,29.39
2024-10-26 15:36:01,SA-10/TEMPERATURE,28.92
2024-10-26 15:36:11,SA-10/TEMPERATURE,29.85
2024-10-26 15:36:15,SA-10/TEMPERATURE,29.39
2024-10-26 15:36:19,SA-10/TEMPERATURE,28.92
2024-10-26 15:36:21,SA-10/TEMPERATURE,29.39
2024-10-26 15:36:25,SA-10/TEMPERATURE,29.85
2024-10-26 15:36:31,SA-10/TEMPERATURE,28.92
2024-10-26 15:36:33,SA-10/TEMPERATURE,29.85
2024-10-26 15:36:37,SA-10/TEMPERATURE,29.39
2024-10-26 15:36:41,SA-10/TEMPERATURE,29.85
2024-10-26 15:37:23,SA-10/TEMPERATURE,30.32
2024-10-26 15:37:25,SA-10/TEMPERATURE,29.85
2024-10-26 15:37:31,SA-10/TEMPERATURE,30.32
2024-10-26 15:37:33,SA-10/TEMPERATURE,29.85
2024-10-26 15:37:35,SA-10/TEMPERATURE,30.32
2024-10-26 15:37:37,SA-10/TEMPERATURE,29.85
2024-10-26 15:37:43,SA-10/TEMPERATURE,30.32
2024-10-26 15:37:49,SA-10/TEMPERATURE,29.85
2024-10-26 15:37:57,SA-10/TEMPERATURE,30.32
2024-10-26 15:37:59,SA-10/TEMPERATURE,29.85
2024-10-26 15:38:01,SA-10/TEMPERATURE,30.32
2024-10-26 15:38:03,SA-10/TEMPERATURE,29.85
2024-10-26 15:38:07,SA-10/TEMPERATURE,30.32
2024-10-26 15:38:11,SA-10/TEMPERATURE,29.85
2024-10-26 15:38:13,SA-10/TEMPERATURE,30.32
2024-10-26 15:38:19,SA-10/TEMPERATURE,29.85
2024-10-26 15:38:21,SA-10/TEMPERATURE,30.32
2024-10-26 15:38:25,SA-10/TEMPERATURE,29.85
2024-10-26 15:38:31,SA-10/TEMPERATURE,30.32
2024-10-26 15:38:43,SA-10/TEMPERATURE,29.85
2024-10-26 15:38:45,SA-10/TEMPERATURE,30.32
2024-10-26 15:39:47,SA-10/TEMPERATURE,30.79
2024-10-26 15:39:49,SA-10/TEMPERATURE,30.32
2024-10-26 15:39:53,SA-10/TEMPERATURE,30.79
2024-10-26 15:39:55,SA-10/TEMPERATURE,30.32
2024-10-26 15:39:57,SA-10/TEMPERATURE,30.79
2024-10-26 15:39:59,SA-10/TEMPERATURE,30.32
2024-10-26 15:40:01,SA-10/TEMPERATURE,30.79
2024-10-26 15:40:13,SA-10/TEMPERATURE,30.32
2024-10-26 15:40:19,SA-10/TEMPERATURE,30.79
2024-10-26 15:40:21,SA-10/TEMPERATURE,30.32
2024-10-26 15:40:25,SA-10/TEMPERATURE,30.79
2024-10-26 15:40:33,SA-10/TEMPERATURE,30.32
2024-10-26 15:40:37,SA-10/TEMPERATURE,30.79
2024-10-26 15:40:39,SA-10/TEMPERATURE,30.32
2024-10-26 15:40:43,SA-10/TEMPERATURE,30.79
2024-10-26 15:40:45,SA-10/TEMPERATURE,30.32
2024-10-26 15:40:47,SA-10/TEMPERATURE,30.79
2024-10-26 15:41:15,SA-10/TEMPERATURE,30.32
2024-10-26 15:41:17,SA-10/TEMPERATURE,30.79
